date,close
2007-02-01,5.094e-03
2007-03-01,-2.614e-02
2007-04-01,4.853e-02
2007-05-01,5.201e-02
2007-06-01,-1.607e-02
2007-07-01,3.801e-02
2007-08-01,-6.389e-02
2007-09-01,6.652e-02
2007-10-01,2.476e-03
2007-11-01,-2.404e-02
2007-12-01,-1.063e-02
2008-01-01,-5.949e-02
2008-02-01,-3.560e-02
2008-03-01,1.321e-02
2008-04-01,2.087e-02
2008-05-01,-1.434e-03
2008-06-01,-4.270e-02
2008-07-01,-5.740e-02
2008-08-01,2.543e-02
2008-09-01,-6.910e-02
2008-10-01,-1.542e-01
2008-11-01,-8.031e-02
2008-12-01,5.813e-02
2009-01-01,-3.750e-02
2009-02-01,-1.648e-01
2009-03-01,4.240e-02
2009-04-01,6.451e-02
2009-05-01,5.678e-02
2009-06-01,3.897e-02
2009-07-01,-4.783e-02
2009-08-01,1.110e-01
2009-09-01,5.759e-02
2009-10-01,-7.828e-03
2009-11-01,7.739e-02
2009-12-01,-3.478e-03
2010-01-01,-2.241e-02
2010-02-01,1.285e-02
2010-03-01,5.086e-02
2010-04-01,1.551e-02
2010-05-01,-8.005e-02
2010-06-01,-3.577e-02
2010-07-01,7.813e-02
2010-08-01,-3.448e-02
2010-09-01,6.741e-02
2010-10-01,2.377e-02
2010-11-01,-2.383e-03
2010-12-01,3.978e-02
2011-01-01,3.110e-02
2011-02-01,1.433e-02
2011-03-01,-2.139e-03
2011-04-01,3.242e-02
2011-05-01,1.199e-03
2011-06-01,-2.194e-03
2011-07-01,2.626e-03
2011-08-01,-6.696e-02
2011-09-01,-3.641e-02
2011-10-01,2.568e-02
2011-11-01,1.359e-03
2011-12-01,4.591e-02
2012-01-01,5.260e-02
2012-02-01,1.774e-02
2012-03-01,2.592e-02
2012-04-01,-9.181e-03
2012-05-01,-5.326e-02
2012-06-01,3.477e-02
2012-07-01,-1.404e-04
2012-08-01,3.502e-02
2012-09-01,2.425e-02
2012-10-01,-1.827e-02
2012-11-01,-2.697e-02
2012-12-01,1.186e-02
2013-01-01,2.802e-02
2013-02-01,3.652e-02
2013-03-01,2.349e-02
2013-04-01,3.738e-02
2013-05-01,1.685e-02
2013-06-01,-2.249e-04
2013-07-01,2.563e-02
2013-08-01,-4.249e-02
2013-09-01,2.812e-02
2013-10-01,7.576e-03
2013-11-01,3.268e-02
2013-12-01,1.838e-02
2014-01-01,1.590e-02
2014-02-01,-1.494e-02
2014-03-01,1.477e-02
2014-04-01,7.108e-03
2014-05-01,1.099e-02
2014-06-01,6.544e-03
2014-07-01,-9.930e-01
2014-08-01,1.445e+02
2014-09-01,-3.246e-03
2014-10-01,2.040e-02
2014-11-01,2.517e-02
2014-12-01,-2.860e-04
2015-01-01,-3.693e-02
2015-02-01,5.638e-02
2015-03-01,-1.967e-02
2015-04-01,1.475e-02
2015-05-01,-1.530e-03
2015-06-01,-2.172e-02
2015-07-01,6.379e-03
2015-08-01,-6.789e-02
2015-09-01,-2.575e-02
2015-10-01,9.695e-02
2015-11-01,3.193e-03
2015-12-01,-1.664e-02
2016-01-01,-5.502e-02
2016-02-01,3.049e-03
2016-03-01,7.075e-02
2016-04-01,5.004e-03
2016-05-01,7.652e-04
2016-06-01,8.028e-03
2016-07-01,2.801e-02
2016-08-01,-1.698e-03
2016-09-01,-5.038e-03
2016-10-01,-9.056e-03
2016-11-01,5.408e-02
2016-12-01,3.341e-02
2017-01-01,5.136e-03
2017-02-01,4.773e-02
2017-03-01,-7.159e-03
2017-04-01,1.342e-02
2017-05-01,3.257e-03
2017-06-01,1.623e-02
2017-07-01,2.536e-02
2017-08-01,2.604e-03
2017-09-01,2.082e-02
2017-10-01,4.339e-02
2017-11-01,3.829e-02
2017-12-01,1.841e-02
2018-01-01,5.786e-02
2018-02-01,-4.284e-02
2018-03-01,-3.466e-02
2018-04-01,6.208e-05
2018-05-01,1.046e-02
2018-06-01,-5.914e-03
2018-07-01,4.713e-02
2018-08-01,2.162e-02
2018-09-01,1.901e-02
2018-10-01,-5.074e-02
2018-11-01,1.683e-02
2018-12-01,-8.658e-02
2019-01-01,7.168e-02
2019-02-01,3.665e-02
2019-03-01,4.900e-04
2019-04-01,2.562e-02
2019-05-01,-6.686e-02
2019-06-01,7.811e-02
2019-07-01,NaN
2019-08-01,NaN
2019-09-01,NaN
2019-10-01,6.779e-03
2019-11-01,NaN
2019-12-01,NaN
2020-01-01,NaN
2020-02-01,-1.045e-02
2020-03-01,-2.161e-01
2020-04-01,3.480e-02
