id,title,popularity,release_date
10781,The Texas Chainsaw Massacre: The Beginning,2.138e+01,2006-10-06
9030,The Eye,1.114e+01,2008-02-01
340611,Indignation,5.626e+00,2016-07-29
238636,The Purge: Anarchy,8.298e+01,2014-07-17
3060,The Big Parade,7.857e-01,1925-11-05
18892,Jawbreaker,4.338e+00,1999-01-30
55779,Final Destination 5,3.856e+01,2011-08-12
10996,Stuart Little 2,2.799e+01,2002-07-19
1591,Nowhere in Africa,3.482e+00,2001-12-11
4515,Lions for Lambs,9.789e+00,2007-10-22
62,2001: A Space Odyssey,8.620e+01,1968-04-10
31005,Moonlight Mile,8.982e+00,2002-09-09
1440,Little Children,1.194e+01,2006-10-06
10115,Stick It,9.751e+00,2006-04-21
11588,The I Inside,3.789e+00,2004-01-15
1809,The Rules of Attraction,1.139e+01,2002-10-11
11536,The Misfits,2.930e+00,1961-01-01
454,Romeo + Juliet,4.149e+01,1996-10-31
14292,Miracle,7.534e+00,2004-02-06
174751,Jane Got a Gun,1.533e+01,2016-01-01
1590,Copying Beethoven,5.063e+00,2006-09-10
283671,Jungle Shuffle,1.414e+00,2014-08-07
68728,Oz: The Great and Powerful,4.699e+01,2013-03-07
21345,City of Life and Death,4.793e+00,2009-04-22
20761,Play It to the Bone,5.566e+00,1999-12-25
9955,Blades of Glory,1.941e+01,2007-03-30
210860,Mortdecai,5.242e+01,2015-01-21
8007,Behind Enemy Lines,2.401e+01,2001-11-17
50601,5 Days of War,5.728e+00,2011-04-14
36739,School Daze,3.160e+00,1988-02-12
889,The Flintstones in Viva Rock Vegas,6.248e+00,2000-04-28
49538,X-Men: First Class,3.195e+00,2011-05-24
22787,Whiteout,1.482e+01,2009-09-09
62728,Brighton Rock,3.122e+00,2010-09-13
16340,Rugrats in Paris: The Movie,4.590e+00,2000-09-14
49787,The Reef,7.245e+00,2010-05-15
329,Jurassic Park,4.041e+01,1993-06-11
153397,Restless,8.128e-01,2012-12-07
38055,Megamind,6.876e+01,2010-10-28
36970,Oceans,1.071e+01,2009-10-17
93856,Chernobyl Diaries,2.065e+01,2012-05-24
388,Inside Man,4.522e+01,2006-03-23
11090,The Animal,1.379e+01,2001-06-01
332285,Antibirth,3.674e+00,2016-09-02
11469,Black Knight,1.591e+01,2001-11-21
238,The Godfather,1.437e+02,1972-03-14
5820,The Sentinel,1.535e+01,2006-04-19
2320,Executive Decision,1.723e+01,1996-03-15
19848,The Players Club,5.770e+00,1998-04-08
81005,Jack the Giant Slayer,4.335e+01,2013-02-27
8618,The History Boys,3.772e+00,2006-10-02
698,Moonraker,2.989e+01,1979-06-26
137347,Closer to the Moon,9.159e+00,2013-11-29
12247,Shotgun Stories,5.251e+00,2007-10-01
84329,Robot & Frank,2.342e+01,2012-08-16
9448,The Big Hit,6.426e+00,1998-04-24
300327,Death Calls,5.883e-03,2010-09-01
10386,The Iron Giant,6.125e+01,1999-08-06
1424,November,5.742e+00,2004-07-22
10592,Hart's War,1.424e+01,2002-02-15
1572,Die Hard: With a Vengeance,5.188e+01,1995-05-19
3049,Ace Ventura: Pet Detective,4.125e+01,1994-02-04
11592,Serial Mom,6.170e+00,1994-04-13
361475,Departure,4.258e-01,2016-05-20
920,Cars,8.264e+01,2006-06-08
61752,Girl 6,2.994e+00,1996-03-22
9541,Jersey Girl,1.470e+01,2004-03-25
286939,Sanctuary: Quite a Conundrum,1.665e-01,2012-01-20
175541,Black Nativity,7.180e+00,2013-11-27
87827,Life of Pi,5.133e+01,2012-11-20
16653,The Singles Ward,9.206e-01,2002-01-30
2251,Unfaithful,1.438e+01,2002-05-10
183894,Emma,2.136e+00,2009-10-11
41283,Faster,2.632e+01,2010-11-23
134411,Snitch,3.056e+01,2013-02-21
10731,The Client,1.775e+01,1994-07-20
35073,The Beast from 20000 Fathoms,2.044e+00,1953-06-13
284296,Top Five,1.590e+01,2014-12-12
10436,The Age of Innocence,9.134e+00,1993-09-17
100,Lock Stock and Two Smoking Barrels,1.603e+01,1998-03-05
10012,Cursed,1.120e+01,2005-02-25
48988,Hall Pass,2.712e+01,2011-02-25
641,Requiem for a Dream,1.157e+01,2000-10-27
87826,Here Comes the Boom,2.680e+01,2012-10-11
13579,The Longshots,4.031e+00,2008-08-22
34549,Max Keeble's Big Move,1.082e+00,2001-10-05
8489,Ali,1.887e+01,2001-12-11
31007,Welcome to the Rileys,6.086e+00,2010-10-29
9767,The Break-Up,2.625e+01,2006-06-01
1824,50 First Dates,6.144e+01,2004-02-13
664,Twister,3.208e+01,1996-05-10
12227,White Fang,1.314e+01,1991-01-18
244534,Happy Christmas,7.052e+00,2014-06-26
2018,The Wedding Planner,1.495e+01,2001-01-26
315011,Shin Godzilla,9.477e+00,2016-07-29
5955,The Pledge,1.250e+01,2001-01-09
598,City of God,4.436e+01,2002-02-05
258489,The Legend of Tarzan,4.274e+01,2016-06-29
585,Monsters Inc.,1.068e+02,2001-11-01
19994,Jennifer's Body,3.226e+01,2009-09-18
150689,Cinderella,1.012e+02,2015-03-12
18615,Fur: An Imaginary Portrait of Diane Arbus,4.358e+00,2006-08-30
9829,United 93,1.750e+01,2006-04-28
26837,B-Girl,6.316e-01,2009-07-29
2008,The Promise,3.866e+00,2005-12-15
364083,Mi America,3.901e-02,2015-10-16
9700,The Lost City,3.589e+00,2005-09-03
30379,Megiddo: The Omega Code 2,8.096e-01,2001-09-07
296,Terminator 3: Rise of the Machines,6.941e+01,2003-07-02
16769,Coal Miner's Daughter,3.827e+00,1980-03-07
11892,Murder by Numbers,1.617e+01,2002-04-19
2447,The Nativity Story,3.721e+00,2006-12-01
34335,Nine Dead,9.688e+00,2010-01-01
20694,Rugrats Go Wild,8.256e+00,2003-06-13
9895,Man of the Year,1.120e+01,2006-10-09
14337,Primer,2.331e+01,2004-10-08
10534,White Squall,1.005e+01,1996-02-02
15070,Undisputed,1.723e+01,2002-08-23
20360,Namastey London,1.841e+00,2007-03-27
190859,American Sniper,8.753e+01,2014-12-11
57022,Sunshine State,4.245e+00,2002-06-21
