country code,year,gdp
USA,2010,1.499e+13
USA,2011,1.554e+13
USA,2012,1.620e+13
USA,2012,1.620e+13
USA,2013,1.678e+13
USA,2014,1.752e+13
USA,2015,1.822e+13
USA,2016,1.871e+13
USA,2017,1.949e+13
USA,2018,2.049e+13
