airline,nb_bumped,total_passengers,bumps_per_10k
VIRGIN AMERICA,165,6090029,0.27093467042603575
JETBLUE AIRWAYS,475,27255038,0.1742797056456131
HAWAIIAN AIRLINES,92,8422734,0.10922819122626928
DELTA AIR LINES,679,99796155,0.06803869347471353
UNITED AIRLINES,67,70030765,0.009567223776578766
